task,regime,soft_cross_entropy_mean,soft_cross_entropy_std,multiclass_brier_mean,multiclass_brier_std,expected_human_label_probability_mean,consensus_soft_cross_entropy_mean,disagreement_soft_cross_entropy_mean,annotator_mean_macro_f1_mean,annotator_mean_quadratic_weighted_kappa_mean,annotator_mean_mae_mean
acceptance_3,soft_dual_unweighted,0.746443401436919,0.005804409267558067,0.3123317752733715,0.0034158356458325856,0.5457631086123949,0.6387536269838812,1.1236879487540021,0.6577466767683761,0.5993895884898898,0.3857856494096276
acceptance_3,consensus_only_balanced,0.7553782347221517,0.005351240949418982,0.31799148184208387,0.00421089338692883,0.535686501362988,0.655473166493237,1.1053524307878588,0.6595892410879679,0.5801478503199369,0.3994096276112625
acceptance_3,soft_dual_balanced,0.7619387936162725,0.006014879469616708,0.32349897877038275,0.0036328277148668224,0.5228741790843584,0.6726772932998394,1.0746278530069673,0.6629259474279521,0.589000272677769,0.39259763851044505
acceptance_3,annotator_2_balanced,0.7638882332826507,0.005119043314979523,0.32474586442000025,0.003493053003108719,0.5359222396264388,0.6605418268873295,1.1259176691828248,0.6420948070879618,0.5761381564672977,0.4166666666666667
acceptance_3,annotator_1_balanced,0.7789458975344564,0.0062818024620702245,0.3357167165268813,0.0037714806353735947,0.5169306012598883,0.6920137408222997,1.083475109084404,0.6575234182715265,0.5820178749168811,0.3925976385104451
acceptance_3,hard_compromise_corrected,0.7863606978868304,0.0058851654387210165,0.3404382862495466,0.003962819497298413,0.5163547209392313,0.7031592809869904,1.0778208761065151,0.6493790944200863,0.5805015376274784,0.3898728428701181
intensity_3,soft_dual_unweighted,0.8447835359198527,0.005987478398216486,0.3298323899361353,0.004368052623268438,0.47206917140983,0.766141853836889,0.9783587459284157,0.464300116748442,0.31603342757400693,0.4069028156221617
intensity_3,hard_compromise_corrected,0.8473033289573714,0.007136119093441383,0.329142177200882,0.004646049388704178,0.47584329470614906,0.7600756525097349,0.995462102923578,0.5074053234388144,0.3813717065741981,0.4082652134423252
intensity_3,consensus_only_balanced,0.8704914397597648,0.005978838140942621,0.3408141625661621,0.004181455219317729,0.4466293684019656,0.8050250161620038,0.9816880857236091,0.5344273755032597,0.43152934007186894,0.43687556766575836
intensity_3,soft_dual_balanced,0.8836407777333471,0.0042215476311012,0.35428265800432235,0.003261745647526945,0.43863624486671543,0.8275571957181199,0.9789003913033286,0.5504223405025318,0.4884419388496546,0.4641235240690282
intensity_3,annotator_2_balanced,0.8915049652462462,0.008090811876277582,0.364712730388171,0.005864570868389114,0.4462500483034179,0.8261948747448496,1.0024360748478827,0.5328877941501594,0.4504456684796043,0.47910990009082655
intensity_3,annotator_1_balanced,0.8978155394003874,0.0038188220813147188,0.3589376378840606,0.0028979181650523197,0.4475642987507164,0.8310836383279612,1.0111616360748759,0.5066093142780871,0.43113550800103884,0.4568574023614896
